Category: All categories

Month,International Transgender Day of Visibility: (Worldwide),International Women's Day: (Worldwide),International Mens day: (Worldwide)
2004-01,<1,<1,0
2004-02,0,2,0
2004-03,<1,6,0
2004-04,<1,<1,0
2004-05,0,<1,0
2004-06,<1,<1,0
2004-07,0,<1,0
2004-08,0,<1,0
2004-09,<1,<1,<1
2004-10,<1,<1,0
2004-11,0,<1,<1
2004-12,<1,<1,0
2005-01,0,<1,0
2005-02,0,2,<1
2005-03,0,16,<1
2005-04,0,1,0
2005-05,0,<1,<1
2005-06,0,<1,0
2005-07,0,<1,0
2005-08,0,<1,0
2005-09,0,<1,0
2005-10,0,<1,0
2005-11,0,<1,<1
2005-12,0,<1,0
2006-01,0,1,0
2006-02,0,2,<1
2006-03,0,16,<1
2006-04,0,1,0
2006-05,0,<1,0
2006-06,<1,<1,0
2006-07,0,<1,0
2006-08,0,<1,0
2006-09,0,<1,0
2006-10,0,<1,0
2006-11,0,<1,<1
2006-12,<1,<1,0
2007-01,0,<1,0
2007-02,<1,2,<1
2007-03,0,17,<1
2007-04,0,<1,0
2007-05,<1,<1,0
2007-06,0,<1,0
2007-07,<1,<1,0
2007-08,0,<1,<1
2007-09,<1,<1,0
2007-10,<1,<1,0
2007-11,0,<1,<1
2007-12,<1,<1,<1
2008-01,0,1,<1
2008-02,<1,2,<1
2008-03,0,14,<1
2008-04,0,1,<1
2008-05,0,<1,<1
2008-06,<1,<1,0
2008-07,0,<1,0
2008-08,<1,<1,<1
2008-09,0,<1,0
2008-10,0,<1,<1
2008-11,0,<1,<1
2008-12,<1,<1,<1
2009-01,<1,<1,<1
2009-02,<1,2,<1
2009-03,<1,14,<1
2009-04,<1,<1,0
2009-05,0,<1,<1
2009-06,0,<1,<1
2009-07,<1,<1,<1
2009-08,<1,<1,<1
2009-09,0,<1,<1
2009-10,0,<1,0
2009-11,0,<1,<1
2009-12,<1,<1,<1
2010-01,0,<1,<1
2010-02,<1,2,<1
2010-03,<1,16,<1
2010-04,<1,1,<1
2010-05,0,1,0
2010-06,0,<1,<1
2010-07,0,<1,<1
2010-08,0,<1,<1
2010-09,0,<1,0
2010-10,0,<1,<1
2010-11,0,<1,<1
2010-12,0,<1,<1
2011-01,0,<1,<1
2011-02,0,2,<1
2011-03,<1,15,<1
2011-04,<1,1,<1
2011-05,<1,1,<1
2011-06,<1,<1,<1
2011-07,<1,<1,<1
2011-08,<1,<1,<1
2011-09,0,<1,<1
2011-10,<1,1,<1
2011-11,<1,<1,<1
2011-12,<1,<1,<1
2012-01,<1,<1,<1
2012-02,<1,2,<1
2012-03,<1,21,<1
2012-04,<1,1,<1
2012-05,<1,1,<1
2012-06,<1,<1,<1
2012-07,<1,<1,<1
2012-08,0,<1,<1
2012-09,0,<1,<1
2012-10,<1,<1,<1
2012-11,<1,<1,<1
2012-12,0,<1,<1
2013-01,<1,<1,<1
2013-02,<1,2,<1
2013-03,<1,20,<1
2013-04,<1,1,<1
2013-05,0,1,<1
2013-06,<1,<1,<1
2013-07,<1,<1,<1
2013-08,<1,<1,<1
2013-09,<1,<1,<1
2013-10,<1,1,<1
2013-11,<1,<1,<1
2013-12,<1,<1,<1
2014-01,<1,<1,<1
2014-02,<1,2,<1
2014-03,<1,23,<1
2014-04,<1,1,<1
2014-05,<1,1,<1
2014-06,<1,<1,<1
2014-07,0,<1,<1
2014-08,0,<1,<1
2014-09,<1,<1,<1
2014-10,<1,<1,<1
2014-11,<1,<1,<1
2014-12,<1,<1,<1
2015-01,<1,<1,<1
2015-02,<1,2,<1
2015-03,<1,22,<1
2015-04,<1,1,<1
2015-05,<1,1,<1
2015-06,<1,<1,<1
2015-07,<1,<1,<1
2015-08,<1,<1,<1
2015-09,<1,<1,<1
2015-10,<1,1,<1
2015-11,<1,<1,<1
2015-12,<1,<1,<1
2016-01,<1,1,<1
2016-02,<1,2,<1
2016-03,<1,35,<1
2016-04,<1,1,<1
2016-05,<1,1,<1
2016-06,<1,<1,<1
2016-07,<1,<1,<1
2016-08,<1,1,<1
2016-09,<1,<1,<1
2016-10,<1,1,<1
2016-11,<1,<1,<1
2016-12,<1,<1,<1
2017-01,<1,1,<1
2017-02,<1,2,<1
2017-03,<1,31,<1
2017-04,<1,1,<1
2017-05,<1,1,<1
2017-06,<1,<1,<1
2017-07,<1,<1,<1
2017-08,<1,1,<1
2017-09,<1,<1,<1
2017-10,<1,1,<1
2017-11,<1,<1,<1
2017-12,<1,<1,<1
2018-01,<1,1,<1
2018-02,<1,3,<1
2018-03,<1,32,<1
2018-04,<1,1,<1
2018-05,<1,1,<1
2018-06,<1,<1,<1
2018-07,<1,<1,<1
2018-08,<1,1,<1
2018-09,<1,<1,<1
2018-10,<1,1,<1
2018-11,<1,<1,<1
2018-12,<1,<1,<1
2019-01,<1,1,<1
2019-02,<1,3,<1
2019-03,<1,100,1
